sampleId,service,cpuUsage,memoryUsage,p95Latency,errorRate,requestRate,dbPoolUsage,deploymentChanged,sloThreshold,slo_violation
SAMPLE-00001,Authentication,38.7,29.6,0.58,0.05,217,28.6,0,2,0
SAMPLE-00002,Orders,95,83.5,3.68,2.96,900,92.9,1,2,1
SAMPLE-00003,Checkout,91.6,68.9,2.82,2.78,2129,90.4,0,2,1
SAMPLE-00004,Inventory,37.4,62,0.51,0.04,285,44.2,0,2,0
SAMPLE-00005,Checkout,25,56,0.56,0,281,34.2,0,2,0
SAMPLE-00006,Inventory,37.4,42.6,0.47,0.04,279,32.3,0,2,0
SAMPLE-00007,Orders,57.1,44.7,0.33,0.13,372,10,0,2,0
SAMPLE-00008,Authentication,50.3,43.3,0.36,0.09,210,32.3,0,2,0
SAMPLE-00009,Checkout,93.1,79.8,2.32,2.24,1099,100,0,2,1
SAMPLE-00010,Checkout,40.8,48.8,0.28,0.03,163,20.2,0,2,0
SAMPLE-00011,Inventory,31.1,38.7,0.37,0.08,250,27,0,2,0
SAMPLE-00012,Checkout,15.3,30.4,0.6,0.1,290,36.9,0,2,0
SAMPLE-00013,Inventory,24.7,49.7,1,0.05,201,32.9,0,2,0
SAMPLE-00014,Checkout,42.7,48.5,0.32,0.09,365,29.5,0,2,0
SAMPLE-00015,Inventory,52,35.1,0.58,0.03,536,33.3,0,2,0
SAMPLE-00016,Payments,34.5,36.4,0.15,0.01,340,37.8,0,2,0
SAMPLE-00017,Orders,53.1,46.7,0.53,0.13,223,24.7,0,2,0
SAMPLE-00018,Inventory,53.5,53.9,0.52,0.05,336,25.7,0,2,0
SAMPLE-00019,Orders,92,92,2.4,2.76,1343,92.3,0,2,1
SAMPLE-00020,Payments,90.9,81.3,1.83,2.97,915,96,0,2,1
SAMPLE-00021,Authentication,32.2,58.8,0.4,0.03,322,22.5,0,2,0
SAMPLE-00022,Inventory,24.7,43.6,0.48,0.04,303,29.7,0,2,0
SAMPLE-00023,Authentication,95.3,76,2.76,1.02,1730,97.7,0,2,1
SAMPLE-00024,Orders,60.6,33.4,0.7,0.03,349,44,1,2,0
SAMPLE-00025,Authentication,79.3,82,2.5,5.69,248,73.5,1,2,1
SAMPLE-00026,Checkout,93.5,92.5,2.29,3.17,978,94.8,0,2,1
SAMPLE-00027,Checkout,86.1,81.8,3.69,2.67,1627,95.3,0,2,1
SAMPLE-00028,Checkout,36,50.2,0.44,0.11,420,26.3,0,2,0
SAMPLE-00029,Checkout,79.8,84.2,2.55,10.3,509,91.2,1,2,1
SAMPLE-00030,Checkout,96.5,91.1,3.49,10.19,316,60.4,1,2,1
SAMPLE-00031,Payments,43.1,35.3,0.73,0.05,171,55.1,0,2,0
SAMPLE-00032,Authentication,42.5,51.4,0.71,0,134,21.9,0,2,0
SAMPLE-00033,Authentication,46.2,45.9,0.17,0,314,44.6,0,2,0
SAMPLE-00034,Orders,86.3,85.7,2.32,1.12,1220,100,1,2,1
SAMPLE-00035,Authentication,91,92.2,1.6,16.19,593,80.2,1,2,1
SAMPLE-00036,Inventory,87,75,2.99,3.42,1333,97.7,0,2,1
SAMPLE-00037,Authentication,53.3,51.5,0.22,0.08,390,42.4,0,2,0
SAMPLE-00038,Inventory,24.2,59.3,0.33,0.01,180,18.1,0,2,0
SAMPLE-00039,Orders,43.1,45.7,0.91,0.21,228,44.2,0,2,0
SAMPLE-00040,Checkout,54.8,42.9,0.08,0.03,53,30.8,0,2,0
SAMPLE-00041,Orders,73,85.8,3.74,7.95,553,67,1,2,1
SAMPLE-00042,Orders,33.1,49.6,0.83,0.09,277,29.8,0,2,0
SAMPLE-00043,Orders,65.9,97,3.66,3.13,743,99,1,2,1
SAMPLE-00044,Payments,78.1,86.4,3.03,5.41,585,87.8,1,2,1
SAMPLE-00045,Inventory,30.9,42.5,0.95,0.02,247,57.5,0,2,0
SAMPLE-00046,Authentication,15,53.5,0.57,0.01,336,21.1,0,2,0
SAMPLE-00047,Checkout,55.1,53.3,0.63,0.04,371,26.7,0,2,0
SAMPLE-00048,Inventory,63.9,52.6,0.54,0.01,220,47,0,2,0
SAMPLE-00049,Checkout,38.3,39.8,0.09,0.07,268,26.3,0,2,0
SAMPLE-00050,Orders,33.4,61.4,0.27,0.01,179,52,1,2,0
SAMPLE-00051,Orders,41.9,40.5,0.94,0.03,302,33.9,0,2,0
SAMPLE-00052,Checkout,94.8,83.9,3.8,4.07,1701,100,0,2,1
SAMPLE-00053,Payments,58.1,48.3,0.45,0.06,430,26.8,0,2,0
SAMPLE-00054,Authentication,43.8,67.5,0.65,0.04,356,48.6,1,2,0
SAMPLE-00055,Authentication,93.1,79.6,4.12,2.36,1168,92.6,0,2,1
SAMPLE-00056,Inventory,39.6,51,0.31,0.01,359,31.5,1,2,0
SAMPLE-00057,Orders,39.6,39.6,0.26,0.06,329,47.5,0,2,0
SAMPLE-00058,Orders,32.4,45.9,0.56,0.03,175,28.4,0,2,0
SAMPLE-00059,Orders,91.8,80.3,3.15,2.42,1745,95.5,0,2,1
SAMPLE-00060,Payments,97.3,94.7,2.43,3.02,1175,93.3,0,2,1
SAMPLE-00061,Checkout,51,45.7,0.44,0.06,226,23.9,0,2,0
SAMPLE-00062,Authentication,28.2,47.4,0.29,0.01,218,26.9,0,2,0
SAMPLE-00063,Inventory,78.3,85.7,3.75,15.27,499,50,1,2,1
SAMPLE-00064,Payments,58.3,45.5,0.45,0.11,338,43.8,0,2,0
SAMPLE-00065,Inventory,27.2,46.5,0.48,0.04,332,26.9,0,2,0
SAMPLE-00066,Checkout,86.1,98.4,4.37,5.37,431,85.6,1,2,1
SAMPLE-00067,Payments,79.4,93.2,2.89,8.34,739,69.4,1,2,1
SAMPLE-00068,Payments,47.6,40.9,0.15,0,351,22.8,0,2,0
SAMPLE-00069,Authentication,45.9,54.4,0.08,0.04,381,40.1,0,2,0
SAMPLE-00070,Checkout,89.7,72.6,3.6,2.68,1581,94.4,1,2,1
SAMPLE-00071,Payments,34.3,43.5,0.58,0.07,309,44.2,0,2,0
SAMPLE-00072,Payments,15,46.3,0.08,0.07,342,44.6,0,2,0
SAMPLE-00073,Authentication,81.9,94.9,1.87,3.9,563,87.5,1,2,1
SAMPLE-00074,Payments,84.3,81.2,3.74,2.33,1863,96.9,0,2,1
SAMPLE-00075,Authentication,50.6,56.4,0.5,0.05,344,32.6,0,2,0
SAMPLE-00076,Inventory,47.6,60.3,0.59,0.03,314,42.1,0,2,0
SAMPLE-00077,Checkout,53.3,54.7,0.11,0.06,463,45.7,0,2,0
SAMPLE-00078,Payments,40.4,39.5,0.77,0.02,427,47.4,0,2,0
SAMPLE-00079,Orders,83.6,80.6,3.86,3,392,58.8,1,2,1
SAMPLE-00080,Checkout,23,50.9,0.3,0.03,245,37.2,0,2,0
SAMPLE-00081,Authentication,32.1,31.5,0.3,0.05,213,44.8,0,2,0
SAMPLE-00082,Payments,78,76.7,2.27,2.62,1719,97,1,2,1
SAMPLE-00083,Authentication,48.4,40.5,0.63,0.03,262,39.2,0,2,0
SAMPLE-00084,Checkout,73.8,89.4,4.11,8.76,605,55.3,1,2,1
SAMPLE-00085,Orders,95.4,78.1,2.37,16.19,622,68.4,1,2,1
SAMPLE-00086,Payments,41.1,45.7,0.39,0.02,453,38.1,0,2,0
SAMPLE-00087,Authentication,63.7,51.9,0.64,0.09,523,28.6,0,2,0
SAMPLE-00088,Orders,56.4,46.7,0.54,0.04,426,61.4,0,2,0
SAMPLE-00089,Orders,95.3,87.4,2.11,2.46,1768,100,0,2,1
SAMPLE-00090,Checkout,91.3,81.7,2.7,1.36,1130,92,0,2,1
SAMPLE-00091,Inventory,38.6,37.1,0.62,0.11,192,35.2,0,2,0
SAMPLE-00092,Orders,41.8,40.4,0.46,0,310,37.8,0,2,0
SAMPLE-00093,Orders,50.3,52.8,0.08,0.08,412,43.9,0,2,0
SAMPLE-00094,Checkout,79.3,81.9,1.63,15.89,499,68.3,1,2,1
SAMPLE-00095,Checkout,37.8,42.1,0.91,0.02,293,26.2,0,2,0
SAMPLE-00096,Authentication,88.3,69.3,3.01,3.74,1491,95.3,1,2,1
SAMPLE-00097,Checkout,89.1,74.7,3.32,3.66,1514,100,1,2,1
SAMPLE-00098,Payments,74.9,92.2,3.86,6.82,429,83.6,1,2,1
SAMPLE-00099,Authentication,64.6,47.6,0.32,0.04,319,26.2,0,2,0
SAMPLE-00100,Orders,24.6,45.6,0.48,0.11,394,17.1,0,2,0
SAMPLE-00101,Orders,43.5,44,0.85,0.06,507,28.4,1,2,0
SAMPLE-00102,Inventory,30.2,40.9,0.62,0.03,464,40.5,0,2,0
SAMPLE-00103,Orders,91.6,90.8,4.4,7.5,596,67.8,1,2,1
SAMPLE-00104,Inventory,34.9,43,0.65,0.12,225,23.9,0,2,0
SAMPLE-00105,Payments,81,93.3,3.66,0.62,1512,94.2,0,2,1
SAMPLE-00106,Authentication,83,86.6,1.8,2.59,1673,100,0,2,1
SAMPLE-00107,Authentication,49.6,42.4,0.32,0.02,488,34.3,0,2,0
SAMPLE-00108,Inventory,40.4,52.6,0.68,0.03,277,35.5,0,2,0
SAMPLE-00109,Authentication,66.8,84.7,3.7,11.12,439,88.8,1,2,1
SAMPLE-00110,Checkout,85.8,65.6,1.8,3.13,1352,88,0,2,1
SAMPLE-00111,Payments,58.7,37.8,0.59,0.09,249,33.4,0,2,0
SAMPLE-00112,Inventory,61.3,89.1,3.27,12.64,342,51,1,2,1
SAMPLE-00113,Inventory,37.1,41.1,0.28,0.05,398,39,0,2,0
SAMPLE-00114,Inventory,15.1,43.5,0.55,0.04,355,31,0,2,0
SAMPLE-00115,Payments,89.3,73.8,3.33,2.49,1666,91.5,0,2,1
SAMPLE-00116,Inventory,94.6,79.8,4.91,4.41,1740,100,0,2,1
SAMPLE-00117,Authentication,79.5,94.1,2.07,4.91,554,84.5,1,2,1
SAMPLE-00118,Payments,40.7,45,0.24,0.07,242,24.1,0,2,0
SAMPLE-00119,Checkout,62.5,41.1,0.5,0.06,245,39.7,0,2,0
SAMPLE-00120,Orders,34.9,46,0.96,0,259,45,1,2,0
SAMPLE-00121,Payments,53.9,53.4,0.65,0.01,317,29.5,0,2,0
SAMPLE-00122,Inventory,59.8,43.6,0.6,0.1,300,38.2,0,2,0
SAMPLE-00123,Checkout,39.1,48.7,0.27,0.07,378,27.9,0,2,0
SAMPLE-00124,Authentication,85.7,99,2.72,7.81,460,97.4,1,2,1
SAMPLE-00125,Orders,36.4,56.2,0.08,0,274,23.2,0,2,0
SAMPLE-00126,Orders,37.8,66.5,0.54,0,335,32.3,0,2,0
SAMPLE-00127,Orders,43,58.9,0.13,0.07,197,43.8,1,2,0
SAMPLE-00128,Checkout,31,35.6,0.31,0.06,345,26.6,0,2,0
SAMPLE-00129,Orders,22.6,49.4,0.32,0.12,214,44.5,0,2,0
SAMPLE-00130,Inventory,45.1,25,0.64,0.05,372,49.5,0,2,0
SAMPLE-00131,Orders,88.5,83.3,3.69,1.67,1611,93.5,1,2,1
SAMPLE-00132,Inventory,33.6,40.6,0.49,0.06,154,51.1,0,2,0
SAMPLE-00133,Checkout,77.4,99,5.1,3.58,708,56,1,2,1
SAMPLE-00134,Orders,31.2,55.9,0.72,0.04,269,23.2,1,2,0
SAMPLE-00135,Inventory,41.3,53.3,0.08,0.03,236,30.3,0,2,0
SAMPLE-00136,Checkout,65.4,88.9,4.88,3,433,81.1,1,2,1
SAMPLE-00137,Inventory,25.3,63.3,0.65,0.09,383,57.7,0,2,0
SAMPLE-00138,Inventory,47.4,25,0.65,0.12,425,49.1,0,2,0
SAMPLE-00139,Inventory,26.3,51.6,0.31,0.01,313,47.9,0,2,0
SAMPLE-00140,Inventory,51.1,57.8,0.68,0.06,209,19.1,0,2,0
SAMPLE-00141,Payments,81.9,94.3,3.06,10.77,374,51.7,1,2,1
SAMPLE-00142,Authentication,40.8,76.7,0.37,0.06,276,27.8,0,2,0
SAMPLE-00143,Inventory,88.7,77.2,2.81,7.86,588,72.5,1,2,1
SAMPLE-00144,Authentication,78.4,88.4,2.96,6,341,86.1,1,2,1
SAMPLE-00145,Payments,92.9,89,3.62,1.7,1747,91.2,0,2,1
SAMPLE-00146,Authentication,92.2,77.5,2.85,2,900,91.8,1,2,1
SAMPLE-00147,Authentication,32,39.9,0.61,0.05,403,29.6,0,2,0
SAMPLE-00148,Inventory,66.2,60.8,0.97,0.06,432,44.3,1,2,0
SAMPLE-00149,Inventory,68.3,57.2,0.33,0.07,263,20.1,0,2,0
SAMPLE-00150,Payments,89.3,96.9,5.11,3,821,89.5,1,2,1
SAMPLE-00151,Authentication,33.2,42.6,0.63,0.05,342,33.7,0,2,0
SAMPLE-00152,Authentication,93.7,87.9,2.78,2.26,1130,86.6,1,2,1
